,user=33375e62-c856-46fa-b705-fb8ee2fbf333
A:Tô Hoài,0.0
A:Paulo CoeHo,0.0
A:Dale Carnegie,0.0
A:Rosie Nguyễn,0.0
A:Patrick Modiano,0.0
A:Hyun-wook park,0.0
A:Xuân Quỳnh,0.0
A:J. R. R. Tolkien,0.0
A:Diana Wynne Jones,0.0
A:Laura Cowan,0.0
A:Stephen Hawking,0.25
A: Sumino Yoru,0.0
A: Phương Hoài Nga,0.0
A: Alexandre Dumas,0.0
A:Chris Cooper,0.0
A:Trần Lỗi,0.0
A:Benjamin Graham,0.0
A:Raymond Chandler,0.0
C:Tiểu thuyết,0.0
C:Hài hước,0.0
C:Kỹ năng,0.0
C:Thiếu nhi,0.0
C:Lịch sử,0.0
C:Giáo trình,0.0
C:Khoa học,0.25
C:Lãng mạn,0.0
C:Thơ - Kịch,0.0
C:Văn học,0.0
C:Phiêu lưu,0.0
C:Kiến thức,0.25
C:Truyện tranh,0.0
C:Tài chính - Kinh doanh,0.0
C:Trinh thám,0.0
P:Kim Đồng,0.0
P:Nhã Nam,0.0
P:NXB Trẻ,0.0
P:Hội nhà văn,0.0
P:Hà Nội,0.0
P:Lao Động,0.0
P:Văn học,0.0
P:Dân Trí,0.0
P:Thế Giới,0.25
P:Phụ Nữ,0.0
